
2025/01/20 (18:37:38) | ===> btop++ v.1.4.0
2025/01/20 (18:37:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/20 (18:39:23) | ===> btop++ v.1.4.0
2025/01/20 (18:39:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/20 (18:41:23) | ===> btop++ v.1.4.0
2025/01/20 (18:41:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/20 (18:41:24) | ===> btop++ v.1.4.0
2025/01/20 (18:41:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/20 (18:47:55) | ===> btop++ v.1.4.0
2025/01/20 (18:47:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/20 (18:48:02) | ===> btop++ v.1.4.0
2025/01/20 (18:48:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/24 (21:06:44) | ===> btop++ v.1.4.0
2025/01/24 (21:06:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/25 (19:21:22) | ===> btop++ v.1.4.0
2025/01/25 (19:21:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/26 (16:20:02) | ===> btop++ v.1.4.0
2025/01/26 (16:20:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/26 (16:20:12) | ===> btop++ v.1.4.0
2025/01/26 (16:20:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/28 (20:12:58) | ===> btop++ v.1.4.0
2025/01/28 (20:12:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/30 (20:44:37) | ===> btop++ v.1.4.0
2025/01/30 (20:44:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/01 (15:56:09) | ===> btop++ v.1.4.0
2025/02/01 (15:56:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/01 (16:40:34) | ===> btop++ v.1.4.0
2025/02/01 (16:40:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/02 (11:32:12) | ===> btop++ v.1.4.0
2025/02/02 (11:32:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/02 (13:21:10) | ===> btop++ v.1.4.0
2025/02/02 (13:21:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/02 (13:54:48) | ===> btop++ v.1.4.0
2025/02/02 (13:54:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/02 (15:21:23) | ===> btop++ v.1.4.0
2025/02/02 (15:21:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/02 (15:21:29) | ===> btop++ v.1.4.0
2025/02/02 (15:21:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/02 (15:21:46) | ===> btop++ v.1.4.0
2025/02/02 (15:21:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/02 (15:21:51) | ===> btop++ v.1.4.0
2025/02/02 (15:21:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/02 (16:45:00) | ===> btop++ v.1.4.0
2025/02/02 (16:45:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/03 (18:11:01) | ===> btop++ v.1.4.0
2025/02/03 (18:11:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/03 (18:12:15) | ===> btop++ v.1.4.0
2025/02/03 (18:12:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/03 (18:16:24) | ===> btop++ v.1.4.0
2025/02/03 (18:16:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/03 (18:16:26) | ===> btop++ v.1.4.0
2025/02/03 (18:16:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/03 (19:37:09) | ===> btop++ v.1.4.0
2025/02/03 (19:37:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/04 (19:14:00) | ===> btop++ v.1.4.0
2025/02/04 (19:14:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/04 (20:09:41) | ===> btop++ v.1.4.0
2025/02/04 (20:09:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/11 (21:03:33) | ===> btop++ v.1.4.0
2025/02/11 (21:03:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/16 (11:35:53) | ===> btop++ v.1.4.0
2025/02/16 (11:35:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/16 (11:44:46) | ===> btop++ v.1.4.0
2025/02/16 (11:44:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/16 (14:15:01) | ===> btop++ v.1.4.0
2025/02/16 (14:15:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/17 (11:36:12) | ===> btop++ v.1.4.0
2025/02/17 (11:36:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/18 (12:56:41) | ===> btop++ v.1.4.0
2025/02/18 (12:56:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/18 (12:57:47) | ===> btop++ v.1.4.0
2025/02/18 (12:57:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/18 (13:30:09) | ===> btop++ v.1.4.0
2025/02/18 (13:30:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
